   9.9900000000000010E-004   5.5609952885385835E-082   5.8455239353373173E-082   5.0644945354008998E-085
   1.9980000000000002E-003   1.8327169030003913E-041   1.9263760613692238E-041   3.3380745523602178E-044
   2.9970000000000005E-003   4.9559523960289660E-028   5.2089181638711707E-028   1.3539607585786981E-030
   3.9960000000000004E-003   2.3745497656071321E-021   2.4956079145873799E-021   8.6494000400254529E-024
   4.9950000000000003E-003   2.3065261933672695E-017   2.4239747330660686E-017   1.0501712056682011E-019
   5.9940000000000011E-003   1.0174198271270168E-014   1.0691643335983659E-014   5.5586602041724202E-017
   6.9930000000000010E-003   7.7055182921964099E-013   8.0969347356127204E-013   4.9114024010430773E-015
   7.9920000000000008E-003   1.9459363988292368E-011   2.0446637167249246E-011   1.4174611610448383E-013
   8.9910000000000007E-003   2.3677434739148588E-010   2.4877246602118154E-010   1.9402450663970190E-012
   9.9900000000000006E-003   1.7304430217265796E-009   1.8180228168340237E-009   1.5755188323209082E-011
   1.0989000000000001E-002   8.7379480718800830E-009   9.1796430899875748E-009   8.7509515234561656E-011
   1.1988000000000002E-002   3.3462566094409909E-008   3.5151983631937646E-008   3.6557832094197974E-010
   1.2987000000000002E-002   1.0365066281740224E-007   1.0887718550962421E-007   1.2267107405435966E-009
   1.3986000000000002E-002   2.7188606890006363E-007   2.8557876564096684E-007   3.4652014115070460E-009
   1.4985000000000002E-002   6.2459594897629540E-007   6.5601266188008642E-007   8.5288533483035024E-009
   1.5984000000000002E-002   1.2886508324832211E-006   1.3533881417247033E-006   1.8769044872773092E-008
   1.6983000000000002E-002   2.4340843359424467E-006   2.5562111600324570E-006   3.7666750403618580E-008
   1.7982000000000001E-002   4.2724342826081057E-006   4.4865285955385332E-006   7.0001631322147943E-008
   1.8981000000000001E-002   7.0511052529777921E-006   7.4039953476326624E-006   1.2194322866674980E-007
   1.9980000000000001E-002   1.1044745044010020E-005   1.1596808144898551E-005   2.0105699231750810E-007
   2.0979000000000001E-002   1.6544871220743497E-005   1.7370805299536881E-005   3.1622976787509427E-007
   2.1978000000000001E-002   2.3848948353565365E-005   2.5037993659485593E-005   4.7752764958348183E-007
   2.2977000000000001E-002   3.3249909276963131E-005   3.4905545827710956E-005   6.9600350752893174E-007
   2.3976000000000004E-002   4.5026833785719835E-005   4.7266016373362441E-005   9.8347261129518066E-007
   2.4975000000000004E-002   5.9437216517643638E-005   6.2389229737372872E-005   1.3522735534306833E-006
   2.5974000000000004E-002   7.6711013304667377E-005   8.0516037815954550E-005   1.8150290781364593E-006
   2.6973000000000004E-002   9.7046469180166132E-005   1.0185394979015577E-004   2.3844182226162192E-006
   2.7972000000000004E-002   1.2060760303550594E-004   1.2657450222468432E-004   3.0729679325946851E-006
   2.8971000000000004E-002   1.4752314656714377E-004   1.5481215634376475E-004   3.8928693602808586E-006
   2.9970000000000004E-002   1.7788669806572042E-004   1.8666447057029610E-004   4.8558215662317404E-006
   3.0969000000000003E-002   2.1175784378645699E-004   2.2219328833611738E-004   5.9729033825351146E-006
   3.1968000000000003E-002   2.4916401136117314E-004   2.6142669359282633E-004   7.2544727359864246E-006
   3.2967000000000003E-002   2.9010284311908110E-004   3.0436151112866132E-004   8.7100917184379216E-006
   3.3966000000000003E-002   3.3454490640505809E-004   3.5096615956058032E-004   1.0348475051817277E-005
   3.4965000000000003E-002   3.8243658891059097E-004   4.0118369740658116E-004   1.2177459249368854E-005
   3.5964000000000003E-002   4.3370305698591964E-004   4.5493493414113667E-004   1.4203989650174870E-005
   3.6963000000000003E-002   4.8825118229284546E-004   5.1212150692982856E-004   1.6434122538550090E-005
   3.7962000000000003E-002   5.4597236618078094E-004   5.7262884898460901E-004   1.8873039702270460E-005
   3.8961000000000003E-002   6.0674521155169034E-004   6.3632899689522579E-004   2.1525072993466802E-005
   3.9960000000000002E-002   6.7043800879263565E-004   7.0308320195083351E-004   2.4393736702804014E-005
   4.0959000000000002E-002   7.3691101586907735E-004   7.7274432465556015E-004   2.7481765818910504E-005
   4.1958000000000002E-002   8.0601852326232174E-004   8.4515900275746977E-004   3.0791158505217073E-005
   4.2957000000000002E-002   8.7761070251310457E-004   9.2016959158635399E-004   3.4323221374946860E-005
   4.3956000000000002E-002   9.5153524310834540E-004   9.9761588176165705E-004   3.8078616375460373E-005
   4.4955000000000002E-002   1.0276387867001590E-003   1.0773366037876769E-003   4.2057408301946961E-005
   4.5954000000000002E-002   1.1057681705145879E-003   1.1591707320562051E-003   4.6259112146105877E-005
   4.6953000000000002E-002   1.1857714935863146E-003   1.2429586026355543E-003   5.0682739647957960E-005
   4.7952000000000009E-002   1.2674990203935166E-003   1.3285428602016064E-003   5.5326844559243265E-005
   4.8951000000000008E-002   1.3508039367696937E-003   1.4157692497763592E-003   6.0189566246495930E-005
   4.9950000000000008E-002   1.4355429728048839E-003   1.5044872687599129E-003   6.5268671362738486E-005
   5.0949000000000008E-002   1.5215769069513996E-003   1.5945506942132088E-003   7.0561593400771396E-005
   5.1948000000000008E-002   1.6087709648253277E-003   1.6858179995831802E-003   7.6065470010263644E-005
   5.2947000000000008E-002   1.6969951253270963E-003   1.7781526741455979E-003   8.1777178017191442E-005
   5.3946000000000008E-002   1.7861243457554499E-003   1.8714234574402689E-003   8.7693366129420553E-005
   5.4945000000000008E-002   1.8760387166067635E-003   1.9655044999378523E-003   9.3810485348019517E-005
   5.5944000000000008E-002   1.9666235557699173E-003   2.0602754601437485E-003   1.0012481713167739E-004
   5.6943000000000007E-002   2.0577694508716552E-003   2.1556215473387107E-003   1.0663249938270795E-004
