% . . . . . . . . . . .  NOV.29th-2016;  . . . . . . . . .
% Nq  = 186.42986252200060        
% Lq  = 6.1930970789829551        
% Lqb = 3.0854578213313850        
% Ms  = 5.5090061969383379        
% MsB = 4.2241795705035745        

1.0000000000000000E-004         5.2875296371067536E-190  
0.10000000000000001             0.85308489023865852       
0.20000000000000001             0.89501841042755936       
0.29999999999999999             0.69707950895814785       
0.40000000000000002             0.47019835048166803       
0.50000000000000000             0.27327932329714838       
0.59999999999999998             0.12915738659470236        
0.69999999999999996             4.3755799709237049E-002   
0.80000000000000004             7.5428134191124268E-003   
0.90000000000000002             9.5989451198699949E-005   
0.99990000000000001             0.0000000000000000
