   9.9900000000000010E-004  -5.6848823630387027E-086
   1.9980000000000002E-003  -3.7426199684185465E-045
   2.9970000000000005E-003  -1.5162768124461756E-031
   3.9960000000000004E-003  -9.6749672665014028E-025
   4.9950000000000003E-003  -1.1733109115910032E-020
   5.9940000000000011E-003  -6.2031314357853324E-018
   6.9930000000000010E-003  -5.4743503776205198E-016
   7.9920000000000008E-003  -1.5780574492446743E-014
   8.9910000000000007E-003  -2.1575016919918733E-013
   9.9900000000000006E-003  -1.7498443062467349E-012
   1.0989000000000001E-002  -9.7075731079664547E-012
   1.1988000000000002E-002  -4.0505474879765029E-011
   1.2987000000000002E-002  -1.3575370040777366E-010
   1.3986000000000002E-002  -3.8301211323654468E-010
   1.4985000000000002E-002  -9.4155888572661706E-010
   1.5984000000000002E-002  -2.0695223018317042E-009
   1.6983000000000002E-002  -4.1481597070412920E-009
   1.7982000000000001E-002  -7.6996878702298947E-009
   1.8981000000000001E-002  -1.3396413773288187E-008
   1.9980000000000001E-002  -2.2060441511505682E-008
   2.0979000000000001E-002  -3.4654542078012834E-008
   2.1978000000000001E-002  -5.2265675467029541E-008
   2.2977000000000001E-002  -7.6083122053065581E-008
   2.3976000000000004E-002  -1.0737328344263829E-007
   2.4975000000000004E-002  -1.4745306032547526E-007
   2.5974000000000004E-002  -1.9766341331234613E-007
   2.6973000000000004E-002  -2.5934434898650125E-007
   2.7972000000000004E-002  -3.3381220823939577E-007
   2.8971000000000004E-002  -4.2233980447697271E-007
   2.9970000000000004E-002  -5.2613968392426603E-007
   3.0969000000000003E-002  -6.4635056451686553E-007
   3.1968000000000003E-002  -7.8402685116297880E-007
   3.2967000000000003E-002  -9.4013101654366267E-007
   3.3966000000000003E-002  -1.1155285693609363E-006
   3.4965000000000003E-002  -1.3109852971245940E-006
   3.5964000000000003E-002  -1.5271664600204508E-006
   3.6963000000000003E-002  -1.7646376191136123E-006
   3.7962000000000003E-002  -2.0238668003978426E-006
   3.8961000000000003E-002  -2.3052277215389692E-006
   3.9960000000000002E-002  -2.6090038372031733E-006
   4.0959000000000002E-002  -2.9353929891710983E-006
   4.1958000000000002E-002  -3.2845124773148416E-006
   4.2957000000000002E-002  -3.6564043958391511E-006
   4.3956000000000002E-002  -4.0510411052899345E-006
   4.4955000000000002E-002  -4.4683307343387344E-006
   4.5954000000000002E-002  -4.9081226261669504E-006
   4.6953000000000002E-002  -5.3702126623779023E-006
   4.7952000000000009E-002  -5.8543484129550464E-006
   4.8951000000000008E-002  -6.3602340739785627E-006
   4.9950000000000008E-002  -6.8875351659073952E-006
   5.0949000000000008E-002  -7.4358829744038328E-006
   5.1948000000000008E-002  -8.0048787232018363E-006
   5.2947000000000008E-002  -8.5940974745864089E-006
   5.3946000000000008E-002  -9.2030917578984933E-006
   5.4945000000000008E-002  -9.8313949302533438E-006
   5.5944000000000008E-002  -1.0478524276579224E-005
   5.6943000000000007E-002  -1.1143983858247088E-005
   5.7942000000000007E-002  -1.1827267121104326E-005
   5.8941000000000007E-002  -1.2527859274814844E-005
   5.9940000000000007E-002  -1.3245239456039882E-005
   6.0939000000000007E-002  -1.3978882688339387E-005
   6.1938000000000007E-002  -1.4728261651729204E-005
   6.2937000000000007E-002  -1.5492848274738433E-005
   6.3936000000000007E-002  -1.6272115161484355E-005
   6.4935000000000007E-002  -1.7065536865925861E-005
   6.5934000000000006E-002  -1.7872591024957735E-005
   6.6933000000000006E-002  -1.8692759361462138E-005
   6.7932000000000006E-002  -1.9525528567898536E-005
   6.8931000000000006E-002  -2.0370391080354153E-005
   6.9930000000000006E-002  -2.1226845752441544E-005
   7.0929000000000006E-002  -2.2094398437794147E-005
   7.1928000000000006E-002  -2.2972562489305865E-005
   7.2927000000000006E-002  -2.3860859182750728E-005
   7.3926000000000006E-002  -2.4758818071794276E-005
   7.4925000000000005E-002  -2.5665977280938279E-005
   7.5924000000000005E-002  -2.6581883742394306E-005
   7.6923000000000005E-002  -2.7506093382467975E-005
   7.7922000000000005E-002  -2.8438171262520585E-005
   7.8921000000000005E-002  -2.9377691679185329E-005
   7.9920000000000005E-002  -3.0324238228170687E-005
   8.0919000000000005E-002  -3.1277403835542581E-005
   8.1918000000000005E-002  -3.2236790760056394E-005
   8.2917000000000005E-002  -3.3202010569874537E-005
   8.3916000000000004E-002  -3.4172684096563052E-005
   8.4915000000000004E-002  -3.5148441369200705E-005
   8.5914000000000004E-002  -3.6128921530916602E-005
   8.6913000000000004E-002  -3.7113772740245552E-005
   8.7912000000000004E-002  -3.8102652059195073E-005
   8.8911000000000004E-002  -3.9095225329998581E-005
   8.9910000000000004E-002  -4.0091167042060339E-005
   9.0909000000000004E-002  -4.1090160190728081E-005
   9.1908000000000004E-002  -4.2091896129150473E-005
   9.2907000000000003E-002  -4.3096074414497902E-005
   9.3906000000000003E-002  -4.4102402649565896E-005
   9.4905000000000003E-002  -4.5110596320814173E-005
   9.5904000000000017E-002  -4.6120378633682688E-005
   9.6903000000000017E-002  -4.7131480345943820E-005
   9.7902000000000017E-002  -4.8143639599830289E-005
   9.8901000000000017E-002  -4.9156601753540614E-005
   9.9900000000000017E-002  -5.0170119212667938E-005
  0.10089900000000002       -5.1183951262025261E-005
  0.10189800000000002       -5.2197863898333866E-005
  0.10289700000000002       -5.3211629664120231E-005
  0.10389600000000002       -5.4225027483144263E-005
  0.10489500000000002       -5.5237842497677254E-005
  0.10589400000000002       -5.6249865907834269E-005
  0.10689300000000002       -5.7260894813207774E-005
  0.10789200000000002       -5.8270732056971326E-005
